2017 01 09 10:35:08 上午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8080
2017 01 09 10:35:20 上午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8080
2017 01 09 10:35:20 上午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8081
2017 01 09 03:30:35 下午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8080
2017 01 09 03:30:47 下午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8080
2017 01 09 03:30:47 下午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8081
2017 01 09 03:35:24 下午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8080
2017 01 09 03:37:38 下午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8080
2017 01 09 03:41:05 下午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8080
2017 01 09 03:49:09 下午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8080
2017 01 09 03:49:22 下午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8080
2017 01 09 03:49:22 下午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8081
2017 01 09 03:51:08 下午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8080
2017 01 09 03:51:18 下午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8080
2017 01 09 03:51:18 下午 : INFO [Thread-8] socket connect remote node success, address:127.0.0.1:8081
